id_ordre,statut_execution,montant_execute,heure_execution
ORD1129,Executé,13883.66,2026-06-08 18:03
ORD1130,Executé,14890.59,2026-06-07 12:53
ORD1131,Executé,8400.78,2026-07-15 16:59
ORD1132,Executé,15483.24,2026-08-11 09:00
ORD1133,Executé,6130.64,2026-06-01 10:57
ORD1134,Executé,11386.78,2026-08-07 11:45
ORD1135,Executé,5687.33,2026-06-11 08:37
ORD1136,Executé,26759.04,2026-07-27 15:01
ORD1137,Executé,11518.2,2026-08-02 16:56
ORD1138,Executé,13997.36,2026-06-28 11:16
ORD1139,Executé,32133.75,2026-06-17 15:02
ORD1140,Executé,13752.51,2026-07-29 10:14
ORD1141,Executé,5671.6,2026-07-22 08:27
ORD1142,Executé,8093.7,2026-07-26 17:47
ORD1143,Executé,9434.88,2026-06-10 17:22
ORD1144,Executé,15465.24,2026-07-01 09:14
ORD1145,Executé,9341.19,2026-08-03 16:19
ORD1146,Executé,25554.48,2026-07-09 12:40
ORD1147,Executé,10063.2,2026-07-18 12:41
ORD1148,Executé,10762.58,2026-06-25 14:00
ORD1149,Executé,5875.74,2026-06-11 17:21
ORD1150,Executé,14562.03,2026-07-17 14:39
ORD1151,Executé,9864.8,2026-07-13 10:00
ORD1152,Executé,6040.48,2026-07-13 09:43
ORD1153,Executé,13912.8,2026-08-11 15:14
ORD1154,Executé,5182.92,2026-06-03 13:28
ORD1155,Executé,9567.62,2026-06-10 13:03
ORD1156,Executé,5611.52,2026-07-19 10:54
ORD1157,Executé,16621.92,2026-07-01 16:10
ORD1158,Executé,9118.8,2026-07-18 19:10
ORD1159,Executé,5520.56,2026-06-21 11:58
ORD1160,Executé,8693.74,2026-08-06 09:46
ORD1161,Executé,13033.76,2026-06-29 16:12
ORD1162,Executé,22277.2,2026-06-11 13:17
ORD1163,Executé,7960.59,2026-07-31 11:05
ORD1164,Executé,11334.12,2026-06-20 16:50
ORD1165,Executé,9711.45,2026-07-24 19:31
ORD1166,Executé,5475.6,2026-08-13 12:22
ORD1167,Executé,9940.04,2026-06-24 18:45
ORD1168,Executé,23264.88,2026-07-20 13:59
ORD1169,Executé,12184.24,2026-06-14 18:29
ORD1170,Executé,5338.2,2026-07-30 15:43
ORD1171,Executé,11414.68,2026-06-06 14:41
ORD1172,Executé,24582.73,2026-07-07 14:21
ORD1173,Executé,6807.24,2026-07-27 14:55
ORD1174,Executé,10356.48,2026-06-11 14:26
ORD1175,Executé,12054.42,2026-07-08 12:51
ORD1176,Executé,26087.6,2026-07-26 13:24
ORD1177,Executé,10637.9,2026-06-04 11:18
ORD1178,Executé,6432.18,2026-07-20 17:39
ORD1179,Executé,14251.72,2026-08-07 13:57
ORD1180,Executé,16794.47,2026-07-20 16:26
ORD1181,Executé,6316.8,2026-08-02 11:13
ORD1182,Executé,9372.44,2026-07-11 19:07
ORD1183,Executé,32701.53,2026-06-23 13:34
ORD1184,Executé,8841.66,2026-08-10 17:54
ORD1185,Executé,8529.6,2026-07-23 15:26
ORD1186,Executé,4945.95,2026-06-17 16:50
ORD1187,Executé,24365.0,2026-06-22 10:33
ORD1188,Executé,16485.71,2026-08-10 12:18
ORD1189,Executé,22950.13,2026-07-14 17:39
ORD1190,Executé,15736.38,2026-06-04 16:22
ORD1191,Executé,25581.78,2026-07-29 10:06
ORD1192,Executé,12349.05,2026-06-19 14:31
ORD1193,Executé,7252.9,2026-07-11 11:48
ORD1194,Executé,6431.77,2026-07-24 12:27
ORD1195,Executé,13414.53,2026-07-30 16:26
ORD1196,Executé,29921.85,2026-06-28 18:04
ORD1197,Executé,23506.39,2026-07-31 12:58
ORD1198,Executé,24772.29,2026-07-17 08:54
ORD1199,Executé,9668.1,2026-07-06 18:05
ORD1200,Executé,13366.4,2026-07-17 10:43
ORD1201,Executé,5569.77,2026-07-29 11:18
ORD1202,Executé,8925.84,2026-07-09 17:29
ORD1203,Executé,21296.01,2026-08-14 13:21
ORD1204,Executé,12671.36,2026-08-07 19:31
ORD1205,Executé,11481.69,2026-06-25 09:01
ORD1206,Executé,5768.97,2026-07-31 09:10
ORD1207,Executé,12941.18,2026-06-23 16:14
ORD1208,Executé,15162.51,2026-08-11 12:35
ORD1209,Executé,16702.92,2026-07-15 17:22
ORD1210,Executé,8576.96,2026-07-08 08:31
ORD1211,Executé,11494.52,2026-07-05 17:18
ORD1212,Executé,13206.5,2026-06-30 08:15
ORD1213,Executé,11346.26,2026-08-10 10:47
ORD1214,Executé,33256.54,2026-06-08 09:44
ORD1215,Executé,14589.0,2026-08-03 11:21
ORD1216,Executé,8396.15,2026-07-29 18:42
ORD1217,Executé,12862.98,2026-06-21 16:25
ORD1218,Executé,11825.46,2026-06-23 18:01
ORD1219,Executé,28675.4,2026-06-18 15:38
ORD9001,Executé,2480000.0,2026-06-21 14:15
ORD9002,Executé,14250.0,2026-07-04 02:18
ORD9003,Executé,630000.0,2026-07-16 10:02
ORD9004,Executé,18000.0,2026-07-21 20:00
ORD9005,Executé,1125000.0,2026-07-31 15:34
ORD9006,Executé,6000.0,2026-08-05 09:47
